CognomePart;NomePart;MailPart;TipologiaPart;IDUtente
Elon;Musk;elon.musk@gmail.com;Relatore;2
Gates;Bill;bill.gates@gmail.com;Relatore;3
Zuckerberg;Mark;mark.zuckerberg@gmail.com;Relatore;4
Jicks;Matt;matt.hicks@gmail.com;Relatore;5
Wayne;Ronald;ronald.wayne@gmail.com;Relatore;6
Page;Larry;larry.page@gmail.com;Relatore;7
Lee;Byung;byung.lee@gmail.com;Relatore;8
Jun;Lei;lei.jun@gmail.com;Relatore;9
Bezos;Jeff;jeff.bezos@gmail.com;Relatore;10
Moore;Gordon;gordon.moore@gmail.com;Relatore;11
user1;user1;user1@gmail.com;Base;12
user2;user2;user2@gmail.com;Base;13
user3;user3;user3@gmail.com;Base;14
user4;user4;user4@gmail.com;Base;15
user5;user5;user5@gmail.com;Base;16
prova;prova;prova.prova@gmail.com;Base;17
prova2;prova2;prova2.prova2@gmail.com;Base;18
prova3;prova3;prova3.prova3@gmail.com;Base;19
