CognomeRel;NomeRel;MailRel;RagioneSociale
Musk;Elon;elon.musk@gmail.com;Tesla Inc.
Gates;Bill;bill.gates@gmail.com;Microsoft Corporation
Zuckerberg;Mark;mark.zuckerberg@gmail.com;Facebook Inc.
Hicks;Matt;matt.hicks@gmail.com;Red Hat Inc.
Wayne;Ronald;ronald.wayne@gmail.com;Apple Inc.
Page;Larry;larry.page@gmail.com;Google LLC
Lee;Byung-Chul;byung.lee@gmail.com;Samsung Electronics Co.
Lei;Jun;lei.jun@gmail.com;Xiaomi Corporation
Bezos;Jeff;jeff.bezos@gmail.com;Amazon Inc.
Moore;Gordon;gordon.moore@gmail.com;Intel Corporation
